"","Df","SumOfSqs","R2","F","Pr(>F)"
"Month",5,6.7740167926186,0.327263700857824,15.6685373988971,0.001
"Site",4,3.19164028620055,0.154193301234074,9.22796929781975,0.001
"Month:Site",16,6.23704122212833,0.301321543073335,4.50827942264386,0.001
"Residual",52,4.49625723510048,0.217221454834767,NA,NA
"Total",77,20.698955536048,1,NA,NA
