"","M1 : February","M2 : March","M3 : April","M4 : May","M5 : June","M6 : July",""
"M1 : February","1","0.0125113526827917","0.00485186973076929","1.87599698602711e-05","1.72573870245158e-06","0.00110570544007077","a"
"M2 : March","0.0125113526827917","1","1","1","1","1","bc"
"M3 : April","0.00485186973076929","1","1","0.494154625473641","0.00443169698789567","0.164750110570544","b"
"M4 : May","1.87599698602711e-05","1","0.494154625473641","1","1","1","bc"
"M5 : June","1.72573870245158e-06","1","0.00443169698789567","1","1","1","c"
"M6 : July","0.00110570544007077","1","0.164750110570544","1","1","1","bc"
