;SUI_A001;SUI_A002;SUI_A003;SUI_A006;SUI_A007;SUI_A008;SUI_A011;SUI_A012;SUI_A013;SUI_A016;SUI_A017;SUI_A018;SUI_A021;SUI_A022;SUI_A023;SUI_A026;SUI_A027;SUI_A028;SUI_A031;SUI_A032;SUI_A033;SUI_A036;SUI_A037;SUI_A038;SUI_A041;SUI_A042;SUI_A043;SUI_A046;SUI_A047;SUI_A048;SUI_A051;SUI_A052;SUI_A053;SUI_A056;SUI_A057;SUI_A058;SUI_A061;SUI_A062;SUI_A063;SUI_A066;SUI_A067;SUI_A068;SUI_A071;SUI_A072;SUI_A073;SUI_A076;SUI_A077;SUI_A078;SUI_A081;SUI_A082;SUI_A083;SUI_A086;SUI_A087;SUI_A088;SUI_A091;SUI_A092;SUI_A093;SUI_A096;SUI_A097;SUI_A098;SUI_A106;SUI_A107;SUI_A108;SUI_A111;SUI_A112;SUI_A113;SUI_A116;SUI_A117;SUI_A118;SUI_A121;SUI_A122;SUI_A123;SUI_A131;SUI_A132;SUI_A133;SUI_A146;SUI_A147;SUI_A148;SUI_EB1;SUI_EB2;SUI_NC
ASV_666;0;26;11;0;0;2;2;0;0;0;0;1;0;0;0;6;1;16;0;1;0;1;3;0;0;0;0;12;7;13;7;7;14;0;0;0;1;1;1;2;1;1;1;0;2;1;4;5;0;0;0;0;1;0;3;4;6;1;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
ASV_667;0;3;0;1;0;0;0;0;0;0;1;2;0;0;1;0;2;0;0;0;0;1;3;1;1;0;0;17;8;7;0;0;3;0;0;0;2;3;1;2;0;3;8;0;0;7;5;11;3;0;0;0;0;1;2;5;14;4;2;3;2;6;6;7;1;1;0;0;0;6;3;7;0;1;2;2;0;1;0;0;0
ASV_668;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;1;2;0;0;0;0;0;0;0;0;0;11;3;7;3;3;4;0;0;2;0;0;0;1;4;2;13;11;1;1;0;0;4;0;3;0;0;0;13;11;2;1;5;14;2;4;4;0;0;2;0;0;0;5;3;4;3;2;6;0;0;8;0;0;0
ASV_669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;28;48;48;16;1;6;0;0;0;2;1;1;0;0;0;1;7;1;0;0;0;0;0;0;0;0;0;3;4;1;0;1;0;0;0;0
ASV_670;1;3;1;1;0;0;1;2;0;1;4;0;9;0;2;3;4;4;0;4;0;6;14;4;2;0;0;5;2;0;2;1;0;0;0;5;4;3;3;0;0;15;5;1;3;3;2;3;1;1;1;0;1;1;1;2;0;1;1;1;0;0;0;5;18;4;0;0;0;0;1;1;2;1;2;0;0;2;0;0;0
ASV_671;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;1;3;4;2;1;0;1;1;0;22;42;28;0;0;0;1;0;1;4;2;3;3;1;2;3;0;2;0;0;0;0;0;1;1;3;0;1;0;1;0;0;2;2;1;10;0;0;0;0;0;0;0;8;0;2;1;0;1;1;1;0;0;0
ASV_672;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;1;0;2;11;1;2;0;16;3;19;0;1;0;2;2;0;5;13;1;22;20;26;0;2;0;0;0;0;0;1;1;0;2;1;1;1;0;0;0;0;0;0;0
ASV_673;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;2;1;1;20;2;7;0;1;11;0;0;1;3;6;0;0;1;10;9;3;5;3;0;0;0;1;0;0;0;0;3;6;7;0;6;5;0;3;4;10;3;8;1;2;0;4;1;4;1;0;0;0;0;2;0;0;0
ASV_674;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;4;2;1;0;0;1;7;0;0;0;0;1;0;0;0;2;2;0;0;3;0;6;4;1;0;39;2;2;2;8;4;13;4;4;0;0;0;1;2;5;1;3;9;10;2;2;0;0;0;0;0;0;0;1;9;0;0;2;0;1;1;1;0;0;0
ASV_675;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;5;0;0;0;0;1;1;0;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;3;3;4;5;0;0;0;0;1;6;0;0;2;0;1;0;0;5;0;0;0;0;1;3;1;22;22;31;0;1;8;21;4;9;0;0;0
ASV_676;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;3;4;1;97;17;18;0;0;1;2;2;0;0;0;2;0;1;0;0;0;0
ASV_677;0;0;0;1;0;0;0;0;0;0;1;1;0;6;3;0;0;0;1;2;5;0;0;0;1;2;1;0;0;2;0;3;5;0;1;7;0;0;0;7;3;2;0;0;1;0;0;8;11;2;2;0;1;1;43;23;6;0;3;2;1;0;2;0;0;0;1;1;0;2;0;2;0;0;2;1;0;0;0;0;0
ASV_678;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;3;5;0;0;1;2;20;3;0;1;0;0;1;1;1;1;0;0;2;1;4;6;4;2;3;0;1;9;4;64;2;2;4;3;1;1;2;1;2;0;1;1;0;0;0
ASV_679;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;1;2;0;0;1;1;2;0;0;5;9;10;0;0;0;5;0;2;0;1;0;2;3;7;0;6;1;3;1;0;1;2;1;17;7;23;23;6;4;0;0;0;1;3;0;1;4;1;0;5;2;0;0;0
ASV_680;0;5;8;0;0;0;0;1;0;0;3;4;19;2;0;5;16;1;4;2;0;1;1;1;1;1;0;5;0;0;2;0;6;5;0;2;0;5;1;0;0;18;1;3;1;1;1;0;3;0;2;0;0;1;3;26;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_681;0;2;1;0;0;0;0;0;0;0;0;1;2;0;2;0;2;0;0;0;0;1;0;1;4;0;0;1;0;0;2;0;0;0;0;4;1;1;0;1;1;1;4;2;4;8;6;5;5;1;2;1;0;0;11;8;1;6;4;9;6;6;2;0;0;3;1;2;4;10;5;3;6;5;1;2;4;3;0;0;0
ASV_682;1;2;1;0;0;0;0;0;0;0;0;2;1;1;0;2;0;1;0;1;2;0;0;0;0;0;1;5;1;10;0;1;1;1;1;3;0;1;1;0;0;0;4;6;2;0;0;3;7;2;1;1;2;2;1;0;1;1;0;0;9;7;20;2;0;3;1;0;0;3;11;7;8;5;2;3;4;10;0;0;0
ASV_683;3;4;0;1;0;2;1;3;3;0;0;2;0;0;7;0;0;1;1;1;0;4;2;6;0;1;1;1;0;0;0;1;1;0;0;0;22;12;13;0;0;2;12;0;1;0;0;0;1;1;0;1;0;0;0;3;0;1;2;0;0;3;13;0;0;1;0;0;0;3;8;6;0;1;2;2;6;6;0;0;0
ASV_684;2;3;7;0;0;0;2;0;0;0;0;0;0;0;0;9;67;12;0;2;1;1;2;0;0;1;0;2;2;0;18;1;13;0;0;0;4;1;3;0;1;3;0;0;2;1;2;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_685;0;1;2;0;0;0;0;3;0;0;0;0;0;0;1;1;1;3;0;0;0;3;3;2;0;0;0;2;3;3;3;1;4;0;0;0;5;5;3;0;0;21;3;1;0;6;1;6;3;1;2;1;3;3;12;5;1;6;8;4;3;5;12;1;1;2;1;0;0;0;1;1;0;1;0;1;2;0;0;0;0
ASV_686;3;0;4;1;0;1;0;0;0;1;2;1;0;3;0;0;10;1;0;0;1;3;8;0;0;4;0;1;2;1;0;0;1;1;0;3;1;7;0;1;1;12;3;1;0;0;2;7;7;3;1;1;0;1;6;14;0;4;3;5;3;2;3;2;0;2;1;8;6;0;1;0;0;1;1;0;2;3;0;0;0
ASV_687;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;3;3;2;0;1;0;0;0;1;1;0;0;1;2;0;2;1;4;1;0;0;0;0;0;0;4;2;8;2;3;7;3;6;2;1;2;0;0;0;6;7;5;2;5;4;0;4;3;1;0;0;1;0;1;8;24;7;0;2;1;4;9;7;0;0;0
ASV_688;1;8;10;0;0;1;0;0;0;1;0;0;0;0;0;7;8;11;0;0;0;0;0;1;0;2;3;8;13;4;9;2;9;2;0;1;1;1;0;2;3;5;10;2;1;4;3;6;1;0;1;0;0;0;3;8;3;3;1;3;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
ASV_689;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;2;0;10;5;1;0;1;0;2;7;4;13;21;31;4;1;18;1;0;1;0;0;0;2;1;1;4;1;2;2;3;2;0;0;0;2;0;1;0;2;4;1;0;0;0;0;0;5;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0
ASV_690;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;1;1;0;0;1;0;2;0;0;0;4;0;0;1;6;0;0;1;2;1;1;1;0;2;1;0;2;13;18;19;2;3;8;0;2;1;3;8;4;1;0;3;1;2;1;9;4;2;0;0;1;1;3;4;1;2;0;2;3;2;0;0;0
ASV_691;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;2;0;0;0;1;0;0;0;1;0;0;1;1;11;2;11;0;0;0;7;0;0;3;12;3;3;0;0;0;1;0;0;0;0;0;1;0;2;5;3;1;2;1;0;1;0;0;0;0;1;2;0;8;12;20;0;2;4;20;6;12;0;0;0
ASV_692;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;1;1;0;1;0;2;0;0;0;0;0;1;0;1;4;0;1;0;5;6;2;0;0;0;1;1;4;5;5;8;1;0;9;26;11;54;0;0;0
ASV_693;2;9;31;0;1;2;0;0;0;0;0;1;0;0;0;2;2;99;0;0;1;0;0;0;0;0;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ASV_694;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;5;4;13;11;0;1;1;0;0;5;6;2;8;13;7;0;0;0;2;9;8;2;2;1;4;7;0;3;3;0;3;2;1;3;7;1;4;4;4;4;3;1;0;0;0
ASV_695;1;1;0;0;0;0;0;0;1;0;0;0;6;1;0;0;13;0;0;0;0;1;7;0;0;0;1;0;0;0;3;2;5;2;1;0;1;0;0;0;2;13;3;0;4;12;5;15;4;5;0;0;0;0;6;6;2;6;4;3;1;7;4;0;1;4;1;0;1;1;1;2;1;2;0;1;0;1;0;0;0
ASV_696;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;4;6;5;0;1;0;0;0;0;0;0;0;0;0;0;14;15;13;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;4;0;0;0;0;0;12;1;0;1;0;0;0;0;0;29;0;2;0;4;11;7;22;0;0;0
ASV_697;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;1;0;0;1;5;1;0;0;1;3;1;0;1;1;5;0;0;0;1;1;2;1;3;11;7;1;1;13;17;17;0;1;0;0;1;0;6;12;6;2;1;3;0;1;0;0;1;0;0;1;1;3;7;1;0;1;0;1;2;2;0;0;0
ASV_698;0;1;0;0;0;0;1;0;1;1;0;0;8;5;5;2;17;4;5;1;3;2;3;0;0;0;1;1;0;0;1;2;1;5;4;0;3;3;2;0;1;17;7;2;1;4;4;3;0;0;0;1;0;0;3;3;2;3;3;9;2;3;1;0;0;0;2;1;0;0;1;1;0;1;1;1;1;4;0;0;0
ASV_699;0;8;4;0;0;0;1;2;0;1;0;4;12;23;2;4;7;2;5;1;1;6;6;5;0;0;0;3;0;1;1;1;0;0;0;2;8;13;1;1;2;0;1;0;0;1;1;2;0;0;0;0;0;0;0;6;0;1;0;0;2;1;9;3;2;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
ASV_700;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;95;42;0;1;0;0;1;0;1;0;0;1;1;0;0;8;0;0;0;0;0
ASV_701;0;0;0;1;0;2;2;0;0;0;11;7;62;28;9;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;3;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;14;2;2;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_702;1;0;3;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;39;12;18;44;12;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0
ASV_703;0;0;0;11;3;37;53;21;4;0;0;1;0;0;0;0;0;0;0;0;2;3;2;3;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_704;1;2;3;1;0;0;16;4;0;0;1;5;8;3;8;4;2;1;0;0;3;0;0;0;0;0;0;1;0;10;6;1;1;1;1;0;0;0;0;2;0;0;6;4;1;2;2;1;1;0;0;0;1;0;0;0;1;10;3;11;0;1;5;4;1;2;0;3;1;1;6;3;0;3;2;1;1;0;0;0;0
ASV_705;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;3;3;0;0;0;0;1;0;1;1;2;2;0;1;2;4;4;0;0;13;2;4;0;6;1;1;5;1;0;1;1;0;5;16;3;8;3;8;1;4;3;1;2;2;2;3;2;6;6;11;1;0;1;4;5;0;0;0;0
ASV_706;0;0;0;0;0;2;0;0;0;0;1;1;2;1;0;2;7;3;0;0;0;0;0;0;3;1;0;0;3;0;2;0;0;2;1;1;0;0;0;6;4;4;8;6;2;0;0;1;1;1;6;1;0;0;9;8;5;3;3;4;1;3;4;0;1;2;8;5;1;1;11;4;1;2;2;4;5;2;0;0;0
ASV_707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;13;2;0;1;1;63;17;35;0;0;0;0;0;0;5;2;6;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
