;SUI_A001;SUI_A002;SUI_A003;SUI_A006;SUI_A007;SUI_A008;SUI_A011;SUI_A012;SUI_A013;SUI_A016;SUI_A017;SUI_A018;SUI_A021;SUI_A022;SUI_A023;SUI_A026;SUI_A027;SUI_A028;SUI_A031;SUI_A032;SUI_A033;SUI_A036;SUI_A037;SUI_A038;SUI_A041;SUI_A042;SUI_A043;SUI_A046;SUI_A047;SUI_A048;SUI_A051;SUI_A052;SUI_A053;SUI_A056;SUI_A057;SUI_A058;SUI_A061;SUI_A062;SUI_A063;SUI_A066;SUI_A067;SUI_A068;SUI_A071;SUI_A072;SUI_A073;SUI_A076;SUI_A077;SUI_A078;SUI_A081;SUI_A082;SUI_A083;SUI_A086;SUI_A087;SUI_A088;SUI_A091;SUI_A092;SUI_A093;SUI_A096;SUI_A097;SUI_A098;SUI_A106;SUI_A107;SUI_A108;SUI_A111;SUI_A112;SUI_A113;SUI_A116;SUI_A117;SUI_A118;SUI_A121;SUI_A122;SUI_A123;SUI_A131;SUI_A132;SUI_A133;SUI_A146;SUI_A147;SUI_A148;SUI_EB1;SUI_EB2;SUI_NC
ASV_1;26;31;40;23;2;3;1;3;0;101;39;58;24;8;25;20;40;97;612;64;113;2;1;8;83;160;182;1446;389;1262;717;128;450;198;47;8;8;18;8;2122;2889;2644;4653;1828;2567;123;1298;137;39;63;175;6;15;10;2448;1996;2985;1966;2472;3930;14;421;639;7;1;2;83;66;48;2105;333;1298;37;15;117;2887;994;3229;0;0;0
ASV_2;14;22;33;8;3;16;0;2;2;17;1;35;32;24;15;41;17;52;6;0;7;2;3;4;72;173;27;27;17;10;1051;346;4109;22;9;74;49;45;45;1992;412;264;1863;2777;43;48;45;57;859;267;506;20;108;34;817;120;575;2648;282;331;1624;2206;821;163;319;1220;12;22;10;1041;423;481;1062;821;499;121;330;496;0;0;0
ASV_3;1579;567;1786;2980;1270;1424;226;472;343;911;558;416;5236;1143;600;351;45;124;461;300;200;36;30;74;139;566;632;322;719;289;68;29;56;200;108;114;38;51;41;40;148;73;163;127;63;26;27;32;81;30;38;191;600;102;48;102;95;51;40;26;19;17;16;148;55;32;8;8;14;18;26;15;30;21;11;15;16;21;0;0;0
ASV_4;1304;932;180;1533;607;918;210;111;124;57;69;886;736;175;1556;269;39;87;2390;1537;2026;32;47;76;300;963;1376;633;943;1030;86;50;30;97;86;205;44;91;55;53;44;25;294;75;160;49;34;63;71;74;42;493;875;245;33;105;92;83;127;49;8;13;8;170;33;27;89;163;486;13;14;15;16;8;16;6;4;5;0;0;0
ASV_5;813;504;459;635;319;631;90;481;699;931;642;479;155;258;288;65;3;0;64;71;212;3;10;9;128;67;88;21;46;44;13;6;18;63;36;90;3;11;13;10;29;6;41;15;7;24;23;24;1396;1116;1221;2115;2738;871;230;374;746;404;678;159;6;3;3;20;14;11;0;4;2;5;3;2;3;4;2;0;0;0;0;0;0
ASV_6;329;88;145;99;95;512;32;20;34;394;946;797;1252;1451;1771;158;7;26;320;237;241;5;7;9;367;314;176;390;661;493;70;94;296;62;39;128;15;35;20;66;98;55;425;131;80;6;8;9;398;120;275;77;214;77;119;64;167;62;63;63;197;180;132;68;65;81;6;6;12;80;138;62;163;176;113;62;98;57;0;0;0
ASV_7;478;703;730;147;93;283;418;546;409;538;945;464;3032;682;408;152;41;82;47;33;46;16;31;69;49;28;146;143;91;79;76;43;47;17;6;41;29;64;68;57;66;50;128;82;73;47;38;78;13;13;11;53;126;192;39;109;55;79;61;77;8;8;13;8;3;4;19;14;15;7;15;11;6;7;5;12;13;14;0;0;0
ASV_8;1;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;4;1412;8226;482;15;5;5;7;11;12;7;6;10;248;5;1233;1;7;0;0;0;0;0;0;0;0;0;0;2;42;3;4;18;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0
ASV_9;67;31;68;5;1;20;21;9;5;12;3;65;31;22;23;115;135;180;30;24;113;34;31;20;50;31;23;65;107;123;153;71;150;27;21;120;35;63;50;143;91;167;341;124;94;396;478;548;229;92;85;21;104;28;196;211;284;171;168;168;60;93;29;51;41;78;45;35;17;367;192;226;63;46;46;98;91;177;0;0;0
ASV_10;31;81;90;8;4;17;12;68;31;8;11;37;36;24;43;91;261;54;457;301;119;131;162;111;43;24;12;214;268;115;165;78;156;341;386;387;82;154;90;51;77;86;326;89;159;125;113;172;61;22;70;7;188;109;82;255;89;46;42;29;30;25;40;79;38;32;3;6;6;14;75;25;12;20;9;11;19;24;0;0;0
ASV_11;19;30;8;10;4;57;86;24;17;12;16;89;26;59;28;37;25;51;19;25;90;77;99;82;46;41;21;36;47;30;43;36;82;40;9;75;47;162;60;143;123;166;229;64;53;242;204;254;125;62;34;43;135;27;197;502;320;157;162;139;48;50;22;65;61;86;176;146;61;266;110;193;93;79;92;68;54;141;0;0;0
ASV_12;43;221;881;360;261;306;19;86;38;69;38;84;142;20;42;43;13;37;54;88;147;24;22;59;53;311;83;181;126;64;88;60;85;122;78;95;20;4;25;245;277;145;87;22;54;10;9;24;18;20;8;71;90;47;33;189;156;35;18;12;2;6;4;15;11;4;2;8;11;1;9;8;1;0;1;4;4;3;0;0;0
ASV_13;7;10;18;2;0;5;2;5;3;17;6;36;21;19;9;18;51;60;5;8;12;28;30;13;17;8;23;48;19;25;40;47;43;17;12;36;17;73;46;80;44;221;223;95;63;206;214;303;150;61;64;14;43;15;191;267;177;177;170;284;154;174;113;22;42;116;75;57;25;191;313;150;177;138;83;113;96;161;0;0;0
ASV_14;1;55;2;55;106;293;40;68;259;11;24;738;40;83;2;214;0;123;215;195;289;0;5;6;143;271;234;94;388;624;24;15;7;186;53;78;4;4;4;36;111;7;94;19;31;1;3;1;44;41;8;121;462;113;3;7;7;4;4;1;0;0;0;0;2;2;0;1;1;1;1;1;0;2;1;0;0;0;0;0;0
ASV_15;2;16;18;1;0;1;0;0;1;8;5;16;47;18;22;3;69;40;0;1;1;0;3;0;16;8;7;30;17;21;16;12;45;3;1;6;1;4;1;98;15;24;90;69;21;159;270;291;72;24;60;2;7;5;98;91;122;92;52;134;120;590;137;63;123;271;27;18;13;242;177;79;492;272;303;250;239;407;0;0;0
ASV_16;0;0;0;0;0;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;4;8;9;3;6;7;843;2431;2281;7;7;8;10;9;4;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0
ASV_17;166;282;304;72;32;113;185;221;139;209;396;208;1147;276;140;49;21;33;18;18;29;3;11;29;18;26;61;52;35;40;39;13;29;9;6;13;27;26;29;18;20;22;61;39;34;22;13;33;6;10;7;21;35;91;13;46;18;25;26;37;5;4;7;10;0;4;8;6;4;9;12;2;4;3;3;2;10;4;0;0;0
ASV_18;84;209;48;16;5;310;24;13;36;21;35;78;36;32;88;13;12;15;228;145;138;10;8;18;35;124;40;30;30;41;45;6;36;133;77;142;47;78;83;48;19;6;258;73;58;108;249;144;100;148;23;235;267;136;22;73;50;14;9;3;4;10;2;34;25;12;2;9;5;4;5;2;57;52;45;1;3;9;0;0;0
ASV_19;1;11;25;2;1;5;1;1;1;6;2;16;27;11;5;43;172;84;9;2;5;53;80;38;24;17;7;45;27;7;19;26;38;5;5;18;25;43;16;51;31;119;171;62;34;173;389;324;125;68;77;14;22;15;94;75;101;79;49;69;113;213;81;139;213;330;11;6;4;74;67;42;139;85;47;45;92;70;0;0;0
ASV_20;4;8;12;3;0;2;11;4;3;2;0;5;13;4;7;10;6;33;2;3;19;23;35;18;19;5;5;100;11;43;10;12;921;33;14;88;18;76;73;99;14;58;375;67;55;10;9;12;320;70;145;12;29;9;64;45;120;92;97;59;103;278;150;38;107;145;28;20;6;64;60;49;110;65;55;30;33;41;0;0;0
ASV_21;567;647;36;1;1;1;3;8;11;16;23;34;39;4;40;4;3;6;111;35;4;3;6;7;6;140;86;171;528;1141;9;3;1;21;16;21;3;9;5;2;3;0;63;9;18;125;8;39;11;34;2;102;17;11;0;3;9;1;1;2;1;1;0;1;0;3;37;82;187;1;0;1;4;2;1;0;0;1;0;0;0
ASV_22;26;402;11;93;24;363;6;9;10;2;2;195;198;246;458;151;8;36;31;20;152;5;6;65;21;59;18;126;156;1206;7;2;0;10;4;27;1;1;3;15;1;3;25;4;14;2;5;3;3;0;5;55;24;12;3;32;11;6;14;8;1;3;3;2;1;2;23;18;50;4;2;5;0;2;4;2;3;18;0;0;0
ASV_23;5;4;0;0;0;0;0;0;0;4;1;4;13;9;3;7;0;61;1;1;0;0;0;1;3;1;5;9;3;1;39;9;94;0;1;3;1;0;1;703;51;44;69;9;11;4;5;2;45;11;23;0;2;0;173;53;147;438;11;31;411;180;120;9;15;14;4;3;2;169;65;183;415;277;190;30;55;43;0;0;0
ASV_24;216;302;80;22;21;65;18;6;6;55;62;303;353;346;507;36;7;23;63;27;42;11;9;29;73;54;49;27;35;74;119;13;8;22;7;16;35;41;42;13;19;16;73;60;51;3;14;9;36;35;16;1;29;12;8;27;12;20;17;28;5;13;30;2;0;0;36;45;32;21;29;19;16;12;17;38;70;62;0;0;0
ASV_25;83;354;565;52;42;81;40;41;13;47;46;76;170;70;98;62;6;97;21;18;24;15;13;29;59;140;54;113;84;112;47;26;34;21;9;53;28;13;22;104;52;41;196;47;35;5;16;14;41;23;17;8;121;201;8;48;40;32;10;15;4;6;9;39;18;17;5;3;3;7;18;2;6;5;0;9;26;16;0;0;0
ASV_26;11;239;56;16;5;114;22;27;9;11;17;32;47;21;20;143;32;43;9;9;26;18;16;28;51;233;33;118;146;43;27;13;15;7;0;9;10;19;9;200;165;74;73;21;35;12;17;22;29;16;25;75;166;55;17;97;59;19;5;4;63;71;47;84;66;87;36;78;160;21;15;12;111;47;51;9;20;20;0;0;0
ASV_27;15;56;27;2;0;2;12;4;2;6;10;18;11;8;20;67;94;74;11;11;11;65;77;72;38;31;5;123;101;26;41;40;55;12;7;61;52;56;27;63;27;98;191;51;31;39;47;75;95;37;30;41;53;45;74;115;86;99;71;52;63;75;47;72;100;134;32;24;17;89;66;80;42;65;52;44;53;56;0;0;0
ASV_28;2;142;39;71;99;16;4;33;3;9;5;8;11;4;5;24;1;327;14;29;185;2;5;15;115;1021;144;5;11;10;109;52;100;97;44;41;0;4;6;23;27;10;84;20;45;0;1;2;6;15;2;20;55;22;3;54;79;13;5;1;2;1;1;255;43;2;20;77;100;3;7;0;2;0;3;0;0;0;0;0;0
ASV_29;8;10;44;0;0;0;0;1;0;3;1;17;21;1;3;61;80;62;0;0;11;7;3;7;13;5;14;56;52;42;30;31;46;6;4;14;7;26;5;97;22;63;213;95;30;138;192;183;109;42;69;6;24;9;165;166;313;103;53;75;46;117;52;21;47;77;17;14;6;109;62;53;46;40;43;65;47;64;0;0;0
ASV_30;3;1;4;1;1;1;2;5;1;0;0;4;2;2;1;19;3;231;5;2;10;6;9;59;0;1;4;4;4;1;14;15;74;30;29;86;24;33;44;36;1;20;3;1;2;0;1;6;143;69;106;123;110;36;36;29;60;11;2;3;129;111;130;393;472;487;28;30;7;8;9;8;43;75;48;4;1;3;0;0;0
ASV_31;0;3;8;0;0;0;2;7;5;2;1;6;11;3;7;3;5;9;0;0;1;19;9;58;3;2;4;14;8;3;11;20;5;2;0;3;39;41;32;528;33;92;87;20;24;9;25;20;7;4;2;35;194;959;10;22;11;20;9;12;49;129;9;1;1;3;43;20;23;20;14;20;227;139;127;51;59;91;0;0;0
ASV_32;6;14;2;3;1;7;19;23;18;4;14;19;72;50;84;13;181;20;27;15;54;77;37;99;24;48;15;56;114;177;34;19;80;11;9;70;22;29;28;8;12;31;87;64;49;2;6;5;130;38;83;111;68;57;29;23;186;63;23;26;9;13;6;29;21;19;27;66;73;4;15;3;1;1;2;2;0;1;0;0;0
ASV_33;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;5;1;1;1;0;0;0;0;0;0;0;0;3;1;12;0;1;0;0;0;0;0;0;0;0;0;0;0;2;6;7;1;5;0;0;0;0;0;0;3;2;12;169;618;2011;1;0;3;2;1;2;5;15;0;0;0;0;0;0;0
ASV_34;23;4;10;14;4;4;4;2;3;143;42;1053;407;533;36;1;0;0;1;1;2;0;1;1;361;0;29;24;19;9;1;0;0;8;10;29;0;1;0;4;0;3;3;1;27;0;0;0;1;0;0;0;3;0;0;0;11;3;2;0;0;0;0;0;0;0;13;8;37;1;0;2;1;0;0;0;0;0;0;0;0
ASV_35;1;0;5;0;0;0;0;0;1;2;9;1;0;0;8;0;1;6;0;0;0;0;0;0;0;36;0;0;0;1;2;2;1;0;0;1;0;0;0;0;0;0;1;0;0;865;1026;843;1;7;3;6;5;1;11;15;15;10;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
ASV_36;3;7;6;1;2;7;5;5;1;1;0;26;5;15;13;32;58;52;7;2;26;46;38;43;40;12;5;21;19;31;24;18;31;17;16;100;37;57;49;68;27;95;85;47;39;50;66;37;93;32;44;6;19;12;56;62;66;56;56;66;30;81;42;23;65;79;12;22;15;76;76;65;79;59;54;36;29;80;0;0;0
ASV_37;0;0;2;1;0;0;377;330;91;3;0;1;1;4;2;0;0;0;0;1;0;95;39;128;0;0;0;0;0;0;0;3;4;3;1;5;291;412;1009;3;1;4;5;1;4;0;0;0;0;0;1;7;20;22;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
ASV_38;5;31;31;2;0;4;4;4;2;7;5;17;2;6;6;109;53;258;6;5;9;29;35;17;55;29;11;26;14;15;64;33;58;7;2;24;13;11;8;18;22;28;128;23;58;54;65;78;44;19;37;23;27;13;46;65;48;51;42;33;39;48;45;38;59;132;57;50;42;76;86;46;26;28;25;27;22;27;0;0;0
ASV_39;1;1;1;1;0;1;0;0;0;0;0;3;12;3;6;2;0;19;1;0;2;0;0;0;2;0;1;18;4;2;1;2;8;1;1;2;0;0;0;263;5;1;68;9;4;140;119;134;280;44;59;0;0;0;4;4;2;25;14;13;84;98;60;18;45;97;4;6;2;28;12;65;400;180;317;2;25;11;0;0;0
ASV_40;4;0;5;2;0;2;0;0;0;1;0;0;0;2;5;0;0;3;0;1;480;0;2;0;3;1;0;1;1;3;3;2;4;2;0;11;0;1;1;10;3;12;311;196;183;2;1;0;156;81;26;0;1;0;20;4;1;20;41;27;162;40;198;2;3;1;26;29;9;17;207;5;1;31;155;43;77;63;0;0;0
ASV_41;28;37;76;122;98;38;8;26;240;1;1;1;24;5;8;8;26;62;67;31;16;23;16;14;3;39;10;3;6;2;13;3;12;113;35;43;11;17;15;74;20;8;75;12;13;37;30;35;8;2;2;6;27;11;10;72;23;7;1;3;5;9;5;32;11;21;122;164;344;2;8;3;63;67;46;8;7;4;0;0;0
ASV_42;0;0;3;0;0;0;0;0;0;3;3;2;5;0;5;2;1;6;1;0;0;0;2;1;3;112;3;4;3;2;13;10;99;2;2;19;1;3;5;590;25;12;327;373;7;32;21;32;21;9;8;0;7;2;62;16;78;321;6;6;37;32;13;0;5;26;0;0;0;13;10;18;22;6;5;11;52;34;0;0;0
ASV_43;2;5;14;0;0;3;0;0;0;1;7;11;9;11;4;13;82;24;4;1;7;6;9;1;19;2;5;51;24;23;14;11;31;4;14;13;4;7;6;8;9;43;55;29;16;94;162;152;79;34;58;0;6;5;25;41;25;45;30;33;100;92;63;54;92;80;13;8;8;57;114;34;87;70;65;71;57;81;0;0;0
ASV_44;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2490;1;4;3;0;2;1;1;1;1;0;2;0;2;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
ASV_45;15;137;274;23;37;109;71;131;50;4;0;2;55;15;9;56;9;38;24;53;41;9;8;31;11;65;64;412;207;100;14;10;29;11;10;17;4;9;4;21;58;12;17;11;14;1;0;0;8;6;9;2;13;38;6;6;15;5;3;7;5;2;6;24;16;9;2;3;1;0;1;1;2;2;0;1;0;1;0;0;0
ASV_46;0;1;0;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;1;1;0;0;1;0;1;0;0;0;3;0;1;12;8;2;1;0;1;3;1;1;18;19;25;866;134;190;52;339;58;3;1;14;10;9;2;15;15;6;250;136;61;5;3;4;36;13;13;57;29;23;3;6;5;0;0;0
ASV_47;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;2;7;9;2321;1;2;2;1;1;2;3;1;2;0;0;0;0;0;0
ASV_48;37;91;130;26;13;107;26;13;10;46;48;77;79;20;281;32;10;32;19;26;48;26;12;36;32;120;62;45;50;48;49;62;22;9;5;33;3;10;7;26;28;11;69;35;29;1;6;11;20;7;13;9;40;38;3;22;16;9;10;8;9;9;9;31;23;21;11;13;16;5;2;2;4;5;4;0;1;8;0;0;0
ASV_49;1;4;4;0;0;0;0;1;1;5;0;3;2;16;5;4;5;16;0;0;1;1;1;0;8;0;6;24;3;3;1;3;8;0;5;12;0;1;0;6;6;10;34;11;15;84;120;77;38;18;25;1;5;1;15;25;37;31;30;37;113;175;95;14;33;62;13;19;9;171;116;143;147;116;122;61;66;100;0;0;0
ASV_50;3;6;14;1;0;0;0;0;0;7;1;8;39;12;4;26;63;51;3;3;5;4;13;4;5;9;7;22;13;16;31;10;24;4;6;8;9;6;2;62;5;19;88;45;12;38;41;82;97;42;54;5;25;2;45;42;77;57;32;38;35;81;41;40;69;93;2;12;3;89;52;45;138;71;47;36;52;34;0;0;0
ASV_51;0;2;5;3;1;2;0;4;0;3;1;9;0;1;1;1;7;3;0;0;1;0;1;0;1;1;2;0;0;0;3;1;8;0;0;5;0;0;0;5;2;5;6;0;0;11;1;15;6;4;1;0;2;1;6;1;5;4;8;2;27;19;18;18;17;85;35;76;47;413;157;148;22;18;11;275;116;605;0;0;0
ASV_52;6;6;12;5;2;2;2;2;1;46;3;4;24;10;14;25;64;62;3;1;6;15;27;18;18;3;5;28;27;32;56;46;36;8;3;22;29;44;14;23;7;126;106;46;34;38;41;40;36;29;28;1;3;7;25;48;22;58;66;43;39;56;43;10;3;30;25;19;14;74;67;38;60;49;41;32;43;48;0;0;0
ASV_53;0;4;3;0;0;0;0;0;0;4;4;0;0;0;0;0;764;376;1;2;1;1;0;2;3;5;0;189;0;1;0;4;1;0;0;0;0;0;0;7;4;0;1;0;0;1;0;0;0;1;0;1;0;0;1;649;1;0;0;0;0;1;0;0;0;0;0;0;0;148;63;0;0;0;0;0;1;0;0;0;0
ASV_54;0;2;1;0;0;1;0;1;1;3;1;2;2;0;2;3;1;5;0;0;0;0;0;0;10;15;0;6;1;0;72;21;284;1;0;3;2;5;4;132;24;26;128;186;3;3;4;3;52;16;31;3;7;0;53;7;35;167;16;36;104;171;64;19;21;78;1;2;1;90;19;33;96;50;32;2;28;29;0;0;0
ASV_55;7;16;35;2;3;2;42;326;64;15;21;11;15;14;7;10;21;14;3;3;10;18;11;18;14;22;14;37;38;22;31;24;38;9;3;6;12;23;16;71;62;57;56;57;41;18;14;17;40;19;11;1;20;12;121;159;108;35;22;33;7;12;30;39;11;15;1;0;0;13;34;8;3;9;7;11;29;20;0;0;0
ASV_56;109;71;13;116;42;88;18;7;10;3;9;78;72;10;145;17;2;4;190;123;159;3;2;7;19;86;103;50;68;81;6;6;4;16;7;18;3;12;7;5;3;2;25;6;19;6;1;3;12;3;5;57;75;17;2;8;9;5;6;7;1;0;2;13;8;4;5;13;47;0;0;2;2;1;0;0;0;0;0;0;0
ASV_57;5;3;3;3;4;6;1;0;0;0;0;8;0;9;3;8;12;20;146;70;5;6;5;11;3;11;4;27;18;39;4;3;14;68;40;53;7;10;14;3;2;2;31;130;580;5;5;7;84;53;85;9;46;3;4;10;3;26;85;13;7;9;17;49;34;46;5;1;1;3;7;1;15;19;15;6;14;7;0;0;0
ASV_58;22;142;30;9;9;36;62;25;8;32;9;100;102;31;75;34;50;54;8;26;21;11;16;27;44;37;35;182;142;85;16;22;12;9;6;35;6;9;1;5;2;9;48;19;45;12;5;12;20;15;11;3;6;16;8;15;27;20;22;10;9;30;5;30;15;10;8;10;8;1;1;0;3;2;4;1;2;1;0;0;0
ASV_59;1;3;5;0;2;0;2;0;0;1;1;15;0;1;1;7;24;9;3;1;4;20;20;20;4;24;8;11;21;7;4;5;3;10;3;11;14;36;13;23;16;60;77;78;18;58;67;72;42;20;37;4;30;9;137;137;68;60;54;39;25;73;59;84;49;30;9;3;1;30;95;31;18;21;9;30;19;33;0;0;0
ASV_60;8;112;71;430;170;130;9;21;46;1;0;14;8;3;1;20;2;4;79;72;42;4;2;4;17;103;85;40;43;57;4;2;0;8;8;1;1;5;3;44;33;9;16;5;6;0;1;1;6;0;3;32;56;21;3;11;2;3;1;1;3;6;7;68;17;5;0;1;2;1;4;1;2;2;1;2;9;4;0;0;0
ASV_61;16;58;286;109;85;104;4;30;12;23;15;34;44;13;16;11;3;5;27;23;58;6;5;19;12;79;25;48;40;22;34;23;31;41;23;27;6;2;3;70;97;47;27;12;14;2;4;4;6;5;8;17;26;12;7;59;60;7;7;3;3;0;2;12;2;2;0;3;5;3;3;1;1;1;2;2;4;0;0;0;0
ASV_62;3;6;5;1;0;4;5;3;0;4;1;4;13;11;12;1;4;4;0;1;12;31;28;35;2;7;2;126;34;67;9;3;7;5;2;24;217;206;114;7;2;41;79;16;30;1;1;3;126;86;98;1;0;1;16;11;5;3;7;6;29;47;71;1;0;0;1;4;2;13;41;12;4;6;3;18;19;27;0;0;0
ASV_63;3;22;11;5;2;18;2;6;5;12;10;16;39;8;6;19;34;38;11;7;12;15;30;40;14;24;17;17;18;21;122;61;128;21;18;67;22;21;7;80;78;13;48;29;18;10;7;14;66;19;46;10;21;31;50;93;85;23;12;23;5;6;6;12;7;2;1;0;1;10;19;20;2;1;0;7;16;9;0;0;0
ASV_64;5;1;12;0;0;4;0;3;0;0;4;7;9;5;7;1;2;6;4;1;2;16;10;36;3;11;7;8;6;2;13;5;9;2;1;6;10;20;13;29;465;77;71;43;59;8;14;9;3;6;3;0;6;11;12;52;27;8;11;18;13;31;4;2;0;0;37;15;14;10;11;14;41;75;73;121;54;71;0;0;0
ASV_65;0;0;7;0;0;0;4;10;6;2;2;2;1;0;1;0;1;2;0;0;0;34;50;132;3;6;6;4;6;3;17;4;25;5;0;1;18;20;12;626;103;24;16;16;9;5;12;3;1;0;1;0;2;128;8;49;9;8;7;17;5;69;2;0;0;0;14;5;8;17;28;23;7;10;22;43;28;52;0;0;0
ASV_66;1;0;3;0;0;2;1;3;0;2;1;13;8;2;2;8;41;5;0;0;1;8;17;18;1;0;10;29;11;14;0;2;8;0;0;2;21;31;8;4;1;38;106;21;16;21;30;33;106;45;61;1;26;5;61;25;150;68;62;48;34;42;31;0;3;15;13;17;14;64;73;28;71;38;25;20;21;32;0;0;0
ASV_67;10;29;14;2;0;2;6;1;4;5;0;7;14;3;0;15;8;16;3;1;2;161;150;134;19;18;4;7;2;20;9;11;2;5;1;32;97;234;125;1;2;5;5;41;8;5;4;4;95;29;32;5;9;31;2;6;3;9;13;15;31;64;7;2;3;14;6;6;2;6;16;3;21;17;18;3;9;3;0;0;0
ASV_68;5;19;0;5;5;17;115;166;33;1;3;3;4;8;1;4;1;2;5;1;4;39;43;57;3;8;4;70;19;22;6;1;1;4;5;18;87;77;84;13;2;84;193;30;9;0;1;1;12;7;5;23;30;34;3;4;3;12;3;9;12;27;10;61;19;25;5;3;3;5;13;5;11;9;5;26;44;11;0;0;0
ASV_69;0;0;22;0;0;0;0;1;0;0;0;4;2;0;1;65;58;87;1;0;2;0;3;0;3;5;10;84;5;47;44;10;33;6;1;10;0;0;0;44;13;33;126;30;11;14;55;53;57;35;40;14;18;11;90;138;150;41;24;11;11;6;7;17;14;46;5;10;3;15;15;7;11;3;4;5;6;5;0;0;0
ASV_70;0;4;6;0;0;0;3;11;2;2;1;0;1;1;1;6;2;3;0;0;0;43;38;110;2;9;1;7;3;5;6;6;17;1;1;0;13;20;8;666;131;28;21;12;3;5;5;3;1;2;0;1;1;117;13;47;11;12;7;16;9;45;1;0;0;0;6;11;7;13;24;20;7;9;20;32;15;32;0;0;0
ASV_71;8;4;16;0;0;0;0;0;0;0;0;3;4;4;9;8;54;24;0;0;1;2;3;3;3;0;1;8;3;4;16;9;11;1;0;9;2;13;4;9;10;39;22;13;11;74;122;88;12;9;9;2;2;5;33;40;28;20;9;15;62;115;46;18;22;98;11;14;11;22;50;13;152;73;90;16;29;27;0;0;0
ASV_72;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;25;3;0;0;0;0;0;0;0;2;1;3;6;6;1;216;644;359;1;1;0;0;2;2;0;0;0;0;1;0;0;3;371;0;0;1;0;0;0;0;0;0;0;0;0;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0
ASV_73;3;1;4;1;0;0;0;3;1;1;4;2;0;0;1;71;12;34;0;0;3;6;6;2;6;12;2;7;6;18;60;27;14;2;1;4;3;9;11;14;23;47;39;26;17;94;85;112;20;29;5;4;15;4;37;59;76;65;77;79;14;22;5;6;1;1;55;44;82;25;27;20;15;15;17;8;10;11;0;0;0
ASV_74;2;7;10;2;0;0;0;1;3;2;0;51;11;8;4;3;7;11;3;4;2;9;15;26;8;47;13;6;12;10;24;5;8;3;5;5;8;26;1;70;5;63;52;36;35;8;33;15;43;10;6;6;12;8;16;39;19;25;20;16;20;49;29;1;0;1;27;31;21;59;36;87;29;24;42;55;88;118;0;0;0
ASV_75;0;3;1;0;0;0;0;0;0;1;0;7;4;1;0;0;0;6;0;0;0;0;0;0;0;59;11;1;2;2;11;2;54;1;1;7;0;3;2;370;21;13;212;245;3;19;8;21;11;3;2;1;1;1;36;15;42;201;5;7;17;21;14;0;1;20;0;0;0;7;8;11;14;9;11;8;38;15;0;0;0
ASV_76;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;11;0;3;0;0;0;1;0;0;2;1;3;317;1177;60;1;2;0;0;3;0;0;5;1;0;0;0;0;0;0
ASV_77;2;3;3;1;0;0;3;0;1;1;5;5;5;6;3;5;16;12;1;2;3;33;41;38;13;12;6;34;15;9;4;4;7;0;3;2;70;51;67;50;32;42;61;16;35;5;10;7;32;17;31;6;19;52;17;21;20;13;15;20;49;41;42;9;7;31;6;8;7;52;54;38;63;41;26;27;48;45;0;0;0
ASV_78;11;10;48;30;7;2;7;3;2;14;8;23;26;13;1;7;31;14;50;61;36;37;34;57;1;2;2;85;33;41;32;15;50;10;10;20;51;92;52;2;48;26;28;9;7;11;8;9;11;2;3;34;19;11;42;23;11;4;7;11;10;27;18;67;20;16;3;1;2;8;48;3;8;8;0;3;2;3;0;0;0
ASV_79;0;3;5;1;0;2;1;0;1;2;2;6;3;2;1;2;72;11;0;1;2;2;0;1;10;7;5;127;30;30;1;3;2;1;0;7;1;3;0;3;6;8;61;10;29;8;10;4;25;11;24;16;7;4;59;111;126;44;7;13;19;23;25;100;99;159;29;13;3;30;61;12;4;4;12;17;21;19;0;0;0
