;Kingdom;Phylum;Class;Order;Family;Genus
ASV_20;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Loktanella
ASV_21;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Pseudomonadales;Bacteria | Proteobacteria | Gammaproteobacteria | Pseudomonadales | Pseudomonadaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Pseudomonadales | Pseudomonadaceae | Azotobacter
ASV_22;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Winogradskyella
ASV_23;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Tenacibaculum
ASV_24;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | unknown genus
ASV_25;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae | Leucothrix
ASV_26;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | Rubidimonas
ASV_27;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | unknown genus
ASV_28;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Ascidiaceihabitans
ASV_29;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Loktanella
ASV_30;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales | Sphingomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales | Sphingomonadaceae | Sphingorhabdus
ASV_31;Bacteria;Bacteria | Verrucomicrobia;Bacteria | Verrucomicrobia | Verrucomicrobiae;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | Rubritaleaceae;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | Rubritaleaceae | Rubritalea
ASV_32;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae | Hellea
ASV_33;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_34;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales | Hyphomicrobiaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales | Hyphomicrobiaceae | Hyphomicrobium
ASV_35;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_36;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Sulfitobacter
